,used,exhausted,rounds,theor
2298,0,0,[],1
132,0,0,[],1
1559,0,0,[],2
1292,0,0,[],1
2771,0,0,[],4
2007,0,0,[],2
1783,0,0,[],3
2605,0,0,[],1
1633,0,0,[],2
2300,0,0,[],2
2607,0,0,[],1
1389,0,0,[],2
938,0,0,[],3
181,0,0,[],2
2496,0,0,[],6
347,0,0,[],1
975,0,0,[],1
1532,0,0,[],2
238,0,0,[],2
594,0,0,[],2
2214,0,0,[],7
1494,0,0,[],1
1244,0,0,[],1
314,0,0,[],3
213,0,0,[],2
1260,0,0,[],1
724,0,0,[],1
1792,0,0,[],1
2274,0,0,[],1
943,0,0,[],2
1354,0,0,[],2
600,0,0,[],1
714,0,0,[],1
2324,0,0,[],3
889,0,0,[],1
2516,0,0,[],1
274,0,0,[],1
168,0,0,[],1
2408,0,0,[],1
350,0,0,[],1
369,0,0,[],1
1305,0,0,[],2
1193,0,0,[],1
2673,0,0,[],1
1497,0,0,[],3
1490,0,0,[],1
2510,0,0,[],4
1319,0,0,[],7
516,0,0,[],1
2676,0,0,[],1
134,0,0,[],1
1115,0,0,[],1
1395,0,0,[],5
538,0,0,[],1
1501,0,0,[],4
2712,0,0,[],1
1132,0,0,[],2
2482,0,0,[],1
2195,0,0,[],1
606,0,0,[],2
2427,0,0,[],1
1954,0,0,[],2
487,0,0,[],1
1933,0,0,[],1
556,0,0,[],3
141,0,0,[],1
2142,0,0,[],1
105,0,0,[],1
1840,0,0,[],3
1062,0,0,[],1
2085,0,0,[],3
1228,0,0,[],4
568,0,0,[],3
924,0,0,[],2
2648,0,0,[],1
1530,0,0,[],1
218,0,0,[],5
1869,0,0,[],1
1638,0,0,[],2
1848,0,0,[],1
228,0,0,[],2
1690,0,0,[],1
2185,0,0,[],6
1388,0,0,[],1
1406,0,0,[],2
226,0,0,[],2
542,0,0,[],2
667,0,0,[],1
302,0,0,[],1
2444,0,0,[],3
1294,0,0,[],1
2731,0,0,[],1
70,0,0,[],1
1626,0,0,[],2
2010,0,0,[],1
71,0,0,[],2
480,0,0,[],1
2118,0,0,[],1
2254,0,0,[],3
1144,0,0,[],1
609,0,0,[],2
680,0,0,[],1
1984,0,0,[],1
892,0,0,[],1
2101,0,0,[],2
1563,0,0,[],6
613,0,0,[],2
67,0,0,[],1
2755,0,0,[],8
1223,0,0,[],1
66,0,0,[],1
957,0,0,[],2
14,0,0,[],3
2640,0,0,[],2
1602,0,0,[],3
2677,0,0,[],3
1336,0,0,[],8
462,0,0,[],2
858,0,0,[],1
1669,0,0,[],2
663,0,0,[],6
354,0,0,[],4
411,0,0,[],2
1222,0,0,[],2
748,0,0,[],2
2093,0,0,[],2
2316,0,0,[],1
661,0,0,[],5
700,0,0,[],4
1751,0,0,[],2
2146,0,0,[],2
2179,0,0,[],1
325,0,0,[],2
2567,0,0,[],3
2091,0,0,[],1
2023,0,0,[],7
1192,0,0,[],1
638,0,0,[],4
2202,0,0,[],2
895,0,0,[],1
2138,0,0,[],3
1516,0,0,[],1
306,0,0,[],1
2801,0,0,[],1
2549,0,0,[],1
2533,0,0,[],3
2535,0,0,[],1
2787,0,0,[],1
1808,0,0,[],1
759,0,0,[],2
420,0,0,[],1
348,0,0,[],1
2563,0,0,[],1
1581,0,0,[],1
2665,0,0,[],2
56,0,0,[],9
2659,0,0,[],1
1971,0,0,[],2
1583,0,0,[],2
2245,0,0,[],2
769,0,0,[],1
2194,0,0,[],2
355,0,0,[],2
2636,0,0,[],5
260,0,0,[],1
434,0,0,[],5
1159,0,0,[],1
2797,0,0,[],1
2388,0,0,[],5
1760,0,0,[],1
2467,0,0,[],4
1320,0,0,[],1
597,0,0,[],3
2296,0,0,[],2
2331,0,0,[],1
1236,0,0,[],2
224,0,0,[],1
1579,0,0,[],1
1088,0,0,[],2
1994,0,0,[],5
605,0,0,[],1
1311,0,0,[],3
1049,0,0,[],1
1533,0,0,[],1
1522,0,0,[],6
342,0,0,[],1
2232,0,0,[],2
1009,0,0,[],3
2774,0,0,[],3
76,0,0,[],2
313,0,0,[],1
2554,0,0,[],2
1926,0,0,[],1
623,0,0,[],2
2186,0,0,[],5
1133,0,0,[],2
424,0,0,[],1
1608,0,0,[],2
333,0,0,[],1
728,0,0,[],1
1085,0,0,[],5
2730,0,0,[],1
738,0,0,[],1
2430,0,0,[],1
878,0,0,[],4
1377,0,0,[],2
1184,0,0,[],2
1230,0,0,[],2
2667,0,0,[],2
2733,0,0,[],2
845,0,0,[],4
1473,0,0,[],1
2350,0,0,[],3
2022,0,0,[],1
2184,0,0,[],1
2016,0,0,[],1
801,0,0,[],1
1966,0,0,[],1
1615,0,0,[],1
176,0,0,[],3
2782,0,0,[],2
2004,0,0,[],6
1934,0,0,[],2
1229,0,0,[],1
1239,0,0,[],1
1505,0,0,[],1
1279,0,0,[],4
2342,0,0,[],2
840,0,0,[],6
1661,0,0,[],3
